"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0090543","Flemming body","1/25","28/21794",0.0316457550023264,0.252196311052423,0.223990144684717,"ENSG00000137807",1
"GO:0031528","microvillus membrane","1/25","31/21794",0.034978774948786,0.252196311052423,0.223990144684717,"ENSG00000080031",1
"GO:0005865","striated muscle thin filament","1/25","32/21794",0.0360873321617752,0.252196311052423,0.223990144684717,"ENSG00000129991",1
"GO:0036379","myofilament","1/25","33/21794",0.0371946668137351,0.252196311052423,0.223990144684717,"ENSG00000129991",1
"GO:0005685","U1 snRNP","1/25","35/21794",0.039405673601941,0.252196311052423,0.223990144684717,"ENSG00000278099",1
"GO:0016235","aggresome","1/25","58/21794",0.0644844575482963,0.27512530032951,0.244354707529499,"ENSG00000180806",1
"GO:0045171","intercellular bridge","1/25","61/21794",0.0677088878761432,0.27512530032951,0.244354707529499,"ENSG00000137807",1
"GO:0005871","kinesin complex","1/25","62/21794",0.0687813250823774,0.27512530032951,0.244354707529499,"ENSG00000137807",1
"GO:0005902","microvillus","1/25","92/21794",0.100409309118192,0.327405315964878,0.290787616153016,"ENSG00000080031",1
"GO:0016234","inclusion body","1/25","99/21794",0.107639378869401,0.327405315964878,0.290787616153016,"ENSG00000180806",1
"GO:0072686","mitotic spindle","1/25","114/21794",0.122945009753091,0.327405315964878,0.290787616153016,"ENSG00000137807",1
"GO:0097525","spliceosomal snRNP complex","1/25","117/21794",0.125975744459964,0.327405315964878,0.290787616153016,"ENSG00000278099",1
"GO:0030532","small nuclear ribonucleoprotein complex","1/25","124/21794",0.133008409610732,0.327405315964878,0.290787616153016,"ENSG00000278099",1
"GO:0120114","Sm-like protein family complex","1/25","138/21794",0.146911119474543,0.335796844513241,0.298240618482155,"ENSG00000278099",1
"GO:0005875","microtubule associated complex","1/25","157/21794",0.165437143070599,0.352932571883945,0.313459850028504,"ENSG00000137807",1
"GO:0030496","midbody","1/25","177/21794",0.184520752056636,0.369041504113273,0.327767125363762,"ENSG00000137807",1
"GO:0030017","sarcomere","1/25","208/21794",0.21327490104039,0.371340392993433,0.329808901671799,"ENSG00000129991",1
"GO:0098858","actin-based cell projection","1/25","220/21794",0.224142097974534,0.371340392993433,0.329808901671799,"ENSG00000080031",1
"GO:0044449","contractile fiber part","1/25","226/21794",0.229521511452243,0.371340392993433,0.329808901671799,"ENSG00000129991",1
"GO:0030016","myofibril","1/25","230/21794",0.233087875079099,0.371340392993433,0.329808901671799,"ENSG00000129991",1
"GO:0043292","contractile fiber","1/25","242/21794",0.24369213290194,0.371340392993433,0.329808901671799,"ENSG00000129991",1
"GO:0016324","apical plasma membrane","1/25","344/21794",0.328319403261474,0.431806694532151,0.38351252474895,"ENSG00000080031",1
"GO:0005819","spindle","1/25","358/21794",0.339199855952116,0.431806694532151,0.38351252474895,"ENSG00000137807",1
"GO:0031253","cell projection membrane","1/25","367/21794",0.346104866696711,0.431806694532151,0.38351252474895,"ENSG00000080031",1
"GO:0098978","glutamatergic synapse","1/25","377/21794",0.353695856159845,0.431806694532151,0.38351252474895,"ENSG00000171246",1
"GO:0005667","transcription factor complex","1/25","386/21794",0.360455355922817,0.431806694532151,0.38351252474895,"ENSG00000205922",1
"GO:0045177","apical part of cell","1/25","410/21794",0.378150524925025,0.431806694532151,0.38351252474895,"ENSG00000080031",1
"GO:0005874","microtubule","1/25","450/21794",0.406602780169119,0.431806694532151,0.38351252474895,"ENSG00000137807",1
"GO:0005925","focal adhesion","1/25","460/21794",0.413518109076004,0.431806694532151,0.38351252474895,"ENSG00000137807",1
"GO:0005924","cell-substrate adherens junction","1/25","463/21794",0.415577576331155,0.431806694532151,0.38351252474895,"ENSG00000137807",1
"GO:0030055","cell-substrate junction","1/25","467/21794",0.418312735328021,0.431806694532151,0.38351252474895,"ENSG00000137807",1
"GO:0030133","transport vesicle","1/25","499/21794",0.43975594731026,0.43975594731026,0.390572716361087,"ENSG00000171246",1
